scope,group,roll_profile,build_count,metric,n,min,p10,p25,median,p75,p90,max,mean,sample_sd,mad
family_class,family_unclassified:archer,upper_quartile_proxy,8,heal_pct,8,-51,-21.6,-2.25,0,0,0,0,-7.5,17.8566,0
family_class,family_unclassified:archer,upper_quartile_proxy,8,skill_points_assigned,8,148,155,171.5,187,193.5,195.3,196,180,18.213,8.5
archetype,Sharpshooter,upper_quartile_proxy,6,total_hp,6,13142,13749,14750.75,15972.5,17791.25,21154,23923,16958.5,3842.5264,2014.5
archetype,Sharpshooter,upper_quartile_proxy,6,ehp,6,12315.3846,13615.9356,16347.0468,25057.009,34833.5771,45722.7494,54825.8262,28131.898,15920.8645,10851.593
archetype,Sharpshooter,upper_quartile_proxy,6,ehp_no_agi,6,11529.2434,11922.314,12843.353,15263.6022,21628.3257,38245.846,53020.5731,21810.5874,15873.3138,3341.2881
archetype,Sharpshooter,upper_quartile_proxy,6,hpr,6,-291.6,-259.8,-211.1475,-80.295,241.875,855.09,1387.68,171.665,634.9256,179.505
archetype,Sharpshooter,upper_quartile_proxy,6,ehpr,6,-419.2152,-369.541,-283.7463,-87.6923,542.4848,1951.7728,3180.2325,498.1798,1375.2656,281.8488
archetype,Sharpshooter,upper_quartile_proxy,6,ls,6,-69,-34.5,0,110.5,417.5,588,693,221.3333,307.6392,145
archetype,Sharpshooter,upper_quartile_proxy,6,effective_ls,6,-53.0769,-26.5384,0,226.0641,484.7813,745.9743,996.2829,315.1667,412.1944,247.8329
archetype,Sharpshooter,upper_quartile_proxy,6,mr,6,-9,6,22.25,32,40.25,44,47,27.3333,20.2452,10
archetype,Sharpshooter,upper_quartile_proxy,6,total_mr,6,16,31,47.25,57,65.25,69,72,52.3333,20.2452,10
archetype,Sharpshooter,upper_quartile_proxy,6,ms,6,-10,-5,0,12,30,41.5,51,16.1667,23.3788,16
archetype,Sharpshooter,upper_quartile_proxy,6,mana_per_hit,6,-1.626,-0.813,0,1.9512,16.6619,27.1242,33.3333,9.4208,14.3799,2.7642
archetype,Sharpshooter,upper_quartile_proxy,6,total_mana,6,143,146,151.75,188,217.5,219.5,221,184.5,37.4953,31.5
archetype,Sharpshooter,upper_quartile_proxy,6,walk_speed,6,-33,-25,-16.75,-8,0,12,24,-7,19.5755,8.5
archetype,Sharpshooter,upper_quartile_proxy,6,attack_tier,6,-15,-11,-6.25,-3,-1.25,-0.5,0,-4.8333,5.5648,2.5
archetype,Sharpshooter,upper_quartile_proxy,6,attacks_per_second,6,0.51,0.51,0.51,0.51,1.665,2.05,2.05,1.0233,0.7953,0
